python3.5 train_discrim.py
Found 2730 images belonging to 1 classes.
Time for epoch 1 is 2.499434232711792 sec
Time for epoch 2 is 0.2259359359741211 sec
Time for epoch 3 is 0.22609376907348633 sec
Time for epoch 4 is 0.2345435619354248 sec
Time for epoch 5 is 0.2281336784362793 sec
Time for epoch 6 is 0.22652530670166016 sec
Time for epoch 7 is 0.22710299491882324 sec
Time for epoch 8 is 0.22218823432922363 sec
Time for epoch 9 is 0.22658228874206543 sec
Time for epoch 10 is 0.22843122482299805 sec
Batch 0 completed
Time for epoch 1 is 0.22871971130371094 sec
Time for epoch 2 is 0.22589612007141113 sec
Time for epoch 3 is 0.23103594779968262 sec
Time for epoch 4 is 0.22724151611328125 sec
Time for epoch 5 is 0.22760319709777832 sec
Time for epoch 6 is 0.22854328155517578 sec
Time for epoch 7 is 0.22707915306091309 sec
Time for epoch 8 is 0.2282276153564453 sec
Time for epoch 9 is 0.2319188117980957 sec
Time for epoch 10 is 0.2260293960571289 sec
Batch 1 completed
Time for epoch 1 is 0.2277994155883789 sec
Time for epoch 2 is 0.2318577766418457 sec
Time for epoch 3 is 0.23302030563354492 sec
Time for epoch 4 is 0.23163723945617676 sec
Time for epoch 5 is 0.23156523704528809 sec
Time for epoch 6 is 0.22901487350463867 sec
Time for epoch 7 is 0.23029708862304688 sec
Time for epoch 8 is 0.2292613983154297 sec
Time for epoch 9 is 0.22732949256896973 sec
Time for epoch 10 is 0.23416638374328613 sec
Batch 2 completed
Time for epoch 1 is 0.22771477699279785 sec
Time for epoch 2 is 0.22849750518798828 sec
Time for epoch 3 is 0.2331376075744629 sec
Time for epoch 4 is 0.23000049591064453 sec
Time for epoch 5 is 0.230057954788208 sec
Time for epoch 6 is 0.22626161575317383 sec
Time for epoch 7 is 0.22581076622009277 sec
Time for epoch 8 is 0.23126554489135742 sec
Time for epoch 9 is 0.2293076515197754 sec
Time for epoch 10 is 0.2317955493927002 sec
Batch 3 completed
Time for epoch 1 is 0.22895550727844238 sec
Time for epoch 2 is 0.2242121696472168 sec
Time for epoch 3 is 0.22954988479614258 sec
Time for epoch 4 is 0.22958970069885254 sec
Time for epoch 5 is 0.22839999198913574 sec
Time for epoch 6 is 0.2330796718597412 sec
Time for epoch 7 is 0.2295856475830078 sec
Time for epoch 8 is 0.23479270935058594 sec
Time for epoch 9 is 0.22946667671203613 sec
Time for epoch 10 is 0.22764372825622559 sec
Batch 4 completed
Time for epoch 1 is 0.22548866271972656 sec
Time for epoch 2 is 0.22582221031188965 sec
Time for epoch 3 is 0.22716832160949707 sec
Time for epoch 4 is 0.2294933795928955 sec
Time for epoch 5 is 0.231126070022583 sec
Time for epoch 6 is 0.23901581764221191 sec
Time for epoch 7 is 0.2277390956878662 sec
Time for epoch 8 is 0.2279806137084961 sec
Time for epoch 9 is 0.23277950286865234 sec
Time for epoch 10 is 0.2289893627166748 sec
Batch 5 completed
Time for epoch 1 is 0.2220020294189453 sec
